Country ,Business,Year Founded,Address,Category,Notes,Source(s)
Algeria,Hamoud Boualem,1878,"201 Rue Hassiba Ben Bouali, Belouizdad, Algeria",Food & Beverages,.,"http://www.hamoud-boualem.com/fr/
https://en.wikipedia.org/wiki/Hamoud_Boualem
https://en.wikipedia.org/wiki/List_of_companies_of_Algeria"
Angola,No data,No data,No data,No data,.,https://en.wikipedia.org/wiki/Edi%C3%A7%C3%B5es_Novembro
Benin,Communauté Électrique du Bénin,1968,No data,Energy (Electricity Supply),.,"http://www.cebnet.org/accueil/contacts
https://en.wikipedia.org/wiki/Communaut%C3%A9_%C3%89lectrique_du_B%C3%A9nin
https://en.wikipedia.org/wiki/List_of_companies_of_Benin"
Botswana,Botswana Meat Commission,1965,"Lobatse, Botswana",Agriculture (Meat Production),.,"https://bmc.bw/history-and-organization/ 
https://bmc.bw/contact-us/
https://en.wikipedia.org/wiki/Botswana_Meat_Commission 
"
Burkina Faso,Air Burkina,1967,"29 Av. De la Nation,
Air Burkina Building,
Secretariat General Management
01 BP 1459 Ouagadougou 01",Aviation & Transport (Airline),.,"Air_Burkina; http://www.air-burkina.com/contact/
https://en.wikipedia.org/wiki/"
Burundi,Brarudi,1955,"Boulevard du 1er Novembre, Bujumbura.","Distillers, Vintners, & Breweries (Brewery)",.,"https://brarudi.bi/index.php/fr/qui-sommes-nous/notre-groupe12
https://en.wikipedia.org/wiki/Brarudi; "
Cameroon,Cameroon Development Corporation,1947,No data,Agricultural (Agricultural Development),.,"http://cdc-cameroon.net/new2014/contacts/
https://en.wikipedia.org/wiki/Cameroon_Development_Corporation; "
Cape Verde,Correios de Cabo Verde,1849,"Rua Cesário Lacerda 2, Praia 7600, Cape Verde",Postal Service,.,"https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=30921858
https://en.wikipedia.org/wiki/List_of_companies_of_Cape_Verde;https://en.wikipedia.org/wiki/Correios_de_Cabo_Verde; "
Central Africa Republic,Banque Internationale pour la Centrafrique,1946,"BP 910, Bangui, Central African Republic",Banking & Finance ,Ecobank completed purchase of controlling interest in 2007. B.I.C.A. is a bank operating in Central African Republic,"https://www.cia.gov/library/publications/the-world-factbook/geos/ct.html
https://en.wikipedia.org/wiki/List_of_companies_of_the_Central_African_Republic; https://en.wikipedia.org/wiki/Banque_Internationale_pour_la_Centrafrique"
Chad,Cotontchad,1971,"1116 N'Djamena, N'Djamens, Chad",Agricultural (Agricultural Development),.,"https://www.cia.gov/library/publications/resources/the-world-factbook/geos/cd.html
https://en.wikipedia.org/wiki/List_of_companies_of_Chad; https://en.wikipedia.org/wiki/Cotontchad"
