Country ,Business,Year Founded,Address,Category,Notes,Source(s)
Afghanistan,Spinzar Cotton Company,1930," OFFICE # 1, First Floor, Black B, Shamsi Plaza, Kolola Pushta Road, Shahr-E-Naw, Kabul, Afghanistan",Agriculture,,"http://www.darkol.co/claim.php?id=187
https://en.wikipedia.org/wiki/List_of_companies_of_Afghanistan
"
Azerbaijan,Azerbaijan Caspian Shipping Company,1858,"Baku, Azerbaijan",Aviation & Transport(Shipping),,"https://asco.az/en/company/sirket-haqqinda/
https://en.wikipedia.org/wiki/Azerbaijan_Caspian_Shipping_Company
https://en.wikipedia.org/wiki/List_of_companies_of_Azerbaijan
"
Bahrain,BMMI,1883,"Road No 4304, Manama, Bahrain
",Retail,,"https://www.bmmigroup.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Bahrain
https://en.wikipedia.org/wiki/BMMI
"
Bangladesh,M. M. Ispahani Limited,1820,"M.M.Ispahani Limited, Ispahani Building, Sk. Mujib Road, Agrabad C/A, Chittagong-4100",Food & Beverages,,"http://www.ispahanibd.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Bangladesh
https://en.wikipedia.org/wiki/M._M._Ispahani_Limited
"
Bhutan,Tashi Group,1959,No data,Aviation & Transport (Airline),," https://www.tashigroup.bt/
https://en.wikipedia.org/wiki/List_of_companies_of_Bhutan"
Brunei,Hua Ho Department Store,1947,"Lot 22083, Block C, Setia Kenangan Building, Kiulap Gadong BE 1518, Negara, Brunei Darussalam",Retail,,"http://huaho.com.bn/
https://en.wikipedia.org/wiki/List_of_companies_of_Brunei
"
Cambodia,National Bank of Cambodia,1954,"22-24 Norodom Blvd, Phnom Penh, Cambodia",Banking & Finance ,,"https://www.nbc.org.kh/english/
https://en.wikipedia.org/wiki/List_of_companies_of_Cambodia
"
China (People's Republic of China),Ma Yu Ching's Bucket Chicken House,1153,"Kaifeng, China",Service Industry (Restaurant),,"https://en.wikipedia.org/wiki/Ma_Yu_Ching
https://www.thechinesequest.com/2014/01/worlds-oldest-chinese-restaurant-ma-yu-changs-bucket-chicken-house/
https://historystack.com/Ma_Yu_Ching's_Bucket_Chicken_House"
Georgia,Bank of Georgia,1903,"29a Iuri Gagarini St, Tbilisi, Georgia",Banking and Finance ,,"https://bankofgeorgiagroup.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Georgia_(country)
https://en.wikipedia.org/wiki/Bank_of_Georgia; "
India,Wadia Group,1736,"C1- Wadia International Centre, (BOMBAY Dyeing), Pandurang Budhkar Marg, Mumbai 400 025, India",Manufacturing & Production (Textiles),,"https://www.wadiagroup.com/contact-us.html
https://en.wikipedia.org/wiki/List_of_companies_of_India
https://en.wikipedia.org/wiki/Wadia_Group
"
Indonesia,Pindad,1808,"Jln Gatot Subroto No 517 Bandung, 40285 Indonesia",Defense ,,"https://www.pindad.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Indonesia"
Iran,No data,No data,No data,No data,,No data
Iraq,North Oil Company,1928,No data,Energy (Oil & Gas),,"http://www.noc.oil.gov.iq/english_ver/homepage_en.htm
https://en.wikipedia.org/wiki/North_Oil_Company
"
Israel,Café Abu Salem,1914,"6143 St 7-15, Nazareth, Israel",Service Industry ,,"https://www.haaretz.com/israel-news/business/.premium.MAGAZINE-oldest-caf-in-israel-open-since-1914-in-nazareth-1.5477273
http://nazarethinfo.org/en/attractions/cafe-abu-salem
"
Japan,Kongō Gumi,578,"1-14-29 Shitennoji, Tennoji-ku, Osaka",Construction,,"https://www.kongogumi.co.jp/
https://en.wikipedia.org/wiki/List_of_oldest_companies
https://en.wikipedia.org/wiki/Kong%C5%8D_Gumi
"
Jordan,Arab Bank,1930,"P.O. Box 950545, Amman, Jordan",Banking & Finance ,,"https://www.arabbank.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Jordan
https://en.wikipedia.org/wiki/Arab_Bank
"
Kazakhstan,Bogatyr Access Komir,1913,"Ekibastuz, Kazakhstan",Mining,,"http://www.bogatyr.kz/
https://en.wikipedia.org/wiki/Bogatyr_Access_Komir
https://en.wikipedia.org/wiki/List_of_companies_of_Kazakhstan"
Kuwait,M.H. Alshaya Co.,1890,"Alshaya Group Head Office:

Burj Alshaya
Al Soor Street
Al Mirqab, Kuwait",Retail,,"https://www.alshaya.com/en/
https://en.wikipedia.org/wiki/List_of_companies_of_Kuwait
https://en.wikipedia.org/wiki/M.H._Alshaya_Co.
"
Kyrgyzstan,No data,No data,No data,No data,,No data
Laos,Electricite du Laos,1959,"Vientiane, Laos",Energy (Electricity Supply),,"http://www.edl.com.la/en/
https://en.wikipedia.org/wiki/List_of_companies_of_Laos
https://en.wikipedia.org/wiki/%C3%89lectricit%C3%A9_du_Laos
"
Lebanon (Republic of Lebanon),Bank Audi,1830,"11-2560 Beirut, Lebanon",Banking & Finance ,,"https://www.bankaudigroup.com/Group/Home
https://en.wikipedia.org/wiki/List_of_companies_of_Lebanon
https://en.wikipedia.org/wiki/Bank_Audi
"
