Country ,Business,Year Founded,Address,Category,Notes,Source(s)
Albania,ALBtelecom,1912,"ALBtelecom Sh.a. Tirana- Durres Highway, Km7, Kashar, Tirana, Albania",Telecommunications,,"http://www.albtelecom.al/
https://en.wikipedia.org/wiki/List_of_companies_of_Albania
https://en.wikipedia.org/wiki/Albtelecom
"
Andorra,Andbank,1930,"Andorra la Vella, Andorra",Banking & Finance ,,"http://www.andbank.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Andorra; https://en.wikipedia.org/wiki/Andbank
"
Armenia,Yerevan Ararat Brandy-Wine-Vodka Factory,1877,"9 Argishti St, Yerevan 0015, Armenia","Distillers, Vintners, & Breweries (Distillery)",," http://www.brandy.am/
https://en.wikipedia.org/wiki/List_of_companies_of_Armenia
https://en.wikipedia.org/wiki/Yerevan_Ararat_Brandy_Factory;"
Austria,St. Peter Stifts Kulinarium,803,"Sankt-Peter-Bezirk 1/4, 5020 Salzburg, Austria",Service Industry (Restaurant),,"https://www.stpeter.at/en/
https://en.wikipedia.org/wiki/List_of_oldest_companies
https://en.wikipedia.org/wiki/St._Peter_Stiftskulinarium
"
Belarus,Olivaria Brewery,1864,"OJSC Brewing Company Olivaria, Belarus, Minsk, Kiseleva, 30, UNP 100128525","Distillers, Vintners, & Breweries (Brewery)",,"http://www.alivaria.by/en/Pages/default.aspx
https://en.wikipedia.org/wiki/List_of_companies_of_Belarus
https://en.wikipedia.org/wiki/Alivaria_Brewery
"
Belgium,Affligem Brewery,1074,"Affligem, Brewery","Distillers, Vintners, & Breweries (Brewery)",,"https://www.affligembeer.com/global/en/age-gate?returnUrl=https%3A%2F%2Fwww.affligembeer.com%2Fglobal%2Fen%2Fhomepage
https://www.worldatlas.com/articles/the-oldest-companies-still-operating-today.html"
Bosnia and Herzegovina,Sarajevska Pivara,1864,"Franjevačka 15, 71000 Sarajevo, Bosnia I Hercegovina","Distillers, Vintners, & Breweries (Brewery)",,"http://sarajevska-pivara.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Bosnia_and_Herzegovina
https://en.wikipedia.org/wiki/Sarajevska_pivara
"
Bulgaria,Arsenal AD,1878,"Kazanlak, Bulgaria",Defense,,"http://arsenal-bg.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Bulgaria
https://en.wikipedia.org/wiki/Arsenal_AD
"
Croatia,Kraljevica Shipyard,1729,"Kralja Tomislava 8, 51262 Kraljevica","Manufacturing & Production (Shipyard)
",,"http://www.dalmont.hr/en/
https://en.wikipedia.org/wiki/List_of_companies_of_Croatia
https://en.wikipedia.org/wiki/Kraljevica_Shipyard
"
Cyprus,Bank of Cyprus,1899,"51 Stassinos Street, Strovolos, P.O. Box 21472, 1599, Nicosia, Cyprus",Banking & Finance ,,"http://bankofcyprus.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Cyprus
https://en.wikipedia.org/wiki/Bank_of_Cyprus
"
Czech Republic,Pivovar Broumov,1348,"Osvobození 55, 550 01,Broumov, Czech Republic","Distillers, Vintners, & Breweries (Brewery)",,"http://www.pivovarbroumov.cz/index_eng.html
https://en.wikipedia.org/wiki/List_of_oldest_companies
https://en.wikipedia.org/wiki/Pivovar_Broumov
"
Denmark,Munke Mølle,1135,"Odense, Denmark",Manufacturing & Production (Flour Mill),,"Eugen Wolfson; Johannes Andersen (1943). Danmarks industrielle udvikling . J. Gjellerup. pp. 187
https://en.wikipedia.org/wiki/List_of_oldest_companies
https://en.wikipedia.org/wiki/Munke_M%C3%B8lle"
England ,The Royal Mint,886,"Pontyclun CF72 8YT, United Kingdom",Manufacturing & Production (Mint),,http://www.oldest.org/technology/companies/
Estonia,Raeapteek,1422,"Raekoja plats 11, 10146 Tallinn, Estonia",Medical (Pharmacy),,"http://raeapteek.ee/
en.wikipedia.org/wiki/List_of_oldest_companies
https://en.wikipedia.org/wiki/Raeapteek
"
Finland,Fiskars,1649,"Hämeentie 135 A, Hameentie 135A, FI-0056+1 Helsinki, Finland",Consumer Goods,,"http://www.fiskarsgroup.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Finland
https://en.wikipedia.org/wiki/Fiskars
"
France,Monnaie de Paris ,864,"11 Quai de Conti, 75006 Paris, France",Manufacturing & Production (Mint),,http://www.oldest.org/technology/companies/
Germany,Staffelter Hof Winery,862,"Robert-Schuman-Straße 208, 54536 Kröv, Germany","Distillers, Vintners, & Breweries (Winery)",,http://www.oldest.org/technology/companies/
Greece,Piraeus Bank,1606,"4 Amerikis St, 105 64 Athens, Greece",Banking & Finance ,,"https://en.wikipedia.org/wiki/List_of_companies_of_Greece
https://en.wikipedia.org/wiki/Piraeus_Bank

"
Hungary,Zwack,1790,"Budapest, Hungary","Distillers, Vintners, & Breweries (Distiller)",,"http://www.zwackunicum.hu/en/
https://en.wikipedia.org/wiki/List_of_companies_of_Hungary
https://en.wikipedia.org/wiki/Zwack
"
Iceland,Íslandspóstur,1776,No data,Postal service,,"http://www.postur.is/
https://en.wikipedia.org/wiki/List_of_companies_of_Iceland
https://en.wikipedia.org/wiki/%C3%8Dslandsp%C3%B3stur"
Ireland,Sean's Bar,900,"Main Street, Athlone, Co Westmeath, Ireland",Service Industry (Pub),,"http://seansbar.ie/
https://en.wikipedia.org/wiki/List_of_oldest_companies
https://en.wikipedia.org/wiki/Sean%27s_Bar"
Italy,Marinelli Bell Foundry,1040,"Campane Marinelli SNC - Via Felice D''Onofrio, 14 Agnone IS 86081 Italy",Manufacturing & Production (Bell foundry),,"http://www.oldest.org/technology/companies/
https://en.wikipedia.org/wiki/Pontificia_Fonderia_Marinelli"
Kosovo,Meridian Corporation,1999,"Blvd. Bill Clinton, Zona Industriale pn, Pristina 10000 Kosovo",Media (Advertising),,http://www.meridian-ks.com/meridian/?id=13
Latvia,Cēsu Alus,1590,"Aldaru laukums 1, Cēsis, Cēsu pilsēta, LV-4101, Latvia","Distillers, Vintners, & Breweries (Brewery)",,"http://www.cesualus.lv/en
https://en.wikipedia.org/wiki/List_of_oldest_companies
https://en.wikipedia.org/wiki/C%C4%93su_Alus; "
Liechtenstein,National Bank of Liechtenstein,1861,"Liechtensteinische Landesbank AG P.O. Box 384 9490 Vaduz, Liechtenstein ",Banking & Finance ,,"https://www.llb.li/en
https://en.wikipedia.org/wiki/List_of_companies_of_Liechtenstein
https://en.wikipedia.org/wiki/List_of_companies_of_Liechtenstein
"
Lithuania,Gubernija,1665,"Dvaro g. 179, Šiauliai 76176, Lithuania","Distillers, Vintners, & Breweries (Brewery)",,"https://gubernija.lt/
https://en.wikipedia.org/wiki/List_of_companies_of_Lithuania
https://en.wikipedia.org/wiki/Gubernija
"
Luxembourg,Mousel,1511,"Brasserie Luxembourg Mousel - Diekirch Ltd, L-9214 Diekirch, Grand Duchy of Luxembourg","Distillers, Vintners, & Breweries (Brewery)",," https://brasseriedeluxembourg.lu/
https://en.wikipedia.org/wiki/List_of_companies_of_Luxembourg
https://en.wikipedia.org/wiki/Mousel"
Malta,HSBC Bank Malta,1882,"HSBC Bank Malta plc 116 Archbishop Valletta, VLT 1444, Malta",Banking & Finance ,,"http://www.hsbc.com.mt/
https://en.wikipedia.org/wiki/List_of_companies_of_Malta
https://en.wikipedia.org/wiki/HSBC_Bank_Malta "
Moldova,No data,No data,No data,No data,,No data
Monaco,No data,No data,No data,No data,,No data
Montenegro,Pošta Crne Gore,1841,"1 Sava Ilića, Igalo, Montenegro
",Postal service,,"http://www.postacg.me/
https://en.wikipedia.org/wiki/List_of_companies_of_Montenegro
https://en.wikipedia.org/wiki/Po%C5%A1ta_Crne_Gore
"
Netherlands,The Brand Brewery,1340,"Brouwerijstraat 2, 6321 AG Wijlre, Netherlands","Distillers, Vintners, & Breweries (Brewery)",,"http://theheinekencompany.com/
https://en.wikipedia.org/wiki/List_of_oldest_companies
https://en.wikipedia.org/wiki/Heineken_brands#Brand_Brewery
"
North Macedonia,Tutunski kombinat Prilep,1873,"Kuzman Josifovski 278, Prilep 7500, North Macedonia",Consumer Goods (Tobacco),,"http://www.tkprilep.com.mk/
https://en.wikipedia.org/wiki/List_of_companies_of_North_Macedonia
https://en.wikipedia.org/wiki/Tutunski_kombinat_Prilep
"
Norway,Posten Norge,1647,"Biskop Gunnerus' gate 14A, 0185 Oslo, Norway",Postal service,,"https://www.linkedin.com/company/posten-norge
https://en.wikipedia.org/wiki/Posten_Norge
"
Poland,Bochnia Salt Mine,1248,"Campi 15, 32-700 Bochnia, Poland",Mine (Salt),,"http://bochnia-mine.eu/
https://en.wikipedia.org/wiki/List_of_companies_of_Poland
https://en.wikipedia.org/wiki/Bochnia_Salt_Mine
"
Portugal,CTT-Correios de Portugal SA,1520,"Avenida D. João II 13 Lisboa, 1999-001 Portugal",Postal service,,"http://www.ctt.pt/
https://en.wikipedia.org/wiki/List_of_companies_of_Portugal
https://en.wikipedia.org/wiki/CTT_Correios_de_Portugal,_S.A.
"
Romania,Ursus Breweries,1878,"Ursus Breweries, Șoseaua Pipera no.43, Sector 2, Bucharest, Postal code: 020112","Distillers, Vintners, & Breweries (Brewery)",,"http://ursus.ro/
https://en.wikipedia.org/wiki/List_of_companies_of_Romania
https://en.wikipedia.org/wiki/Ursus_Breweries
"
Scotland ,Bank of Scotland,1695,"The Mound, Edinburgh, Scotland, United Kingdom",Banking & Finance ,,"https://www.bankofscotland.co.uk/helpcentre/our-heritage.html
 https://en.wikipedia.org/wiki/Bank_of_Scotland"
Serbia,Apatin Brewery,1756,"Trg Oslobođenja 5, Apatin, Serbia","Distillers, Vintners, & Breweries (Brewery)",,"http://www.jelenpivo.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Serbia
https://en.wikipedia.org/wiki/Apatin_Brewery
"
Slovakia,Kremnica Mint,1328,"Štefánikovo námestie 25/24, 967 01 Kremnica, Slovakia",Manufacturing & Production (Mint),,"http://www.mint.sk/onas.php
https://en.wikipedia.org/wiki/List_of_oldest_companies
https://en.wikipedia.org/wiki/Kremnica_Mint
"
Slovenia,Gostilna Gastuž,1467,"Špitalič pri Slovenskih Konjicah 9, 3215 Slovenija",Tourism & Hotels (Hotel),,"http://tic.konjice.si/index.php/turisticne-zanimivosti/lorem-ipsum/contacts/gastuz-1467
https://spartacus.gayguide.travel/hotels/loce/97338_Gostilna+Gastu%9E
https://www.rogla-pohorje.si/sl/uzij/gostinski-ponudniki/2019090313231216/gostilna-gastuz
"
Spain,Casa de Ganaderos,1218,"San Andrés Street 8, C.P. 50001, Zaragoza",Agriculture (Sheep Farming Cooperative),,"""La Casa de Ganaderos de Zaragoza (Notas para el estudio del régimen jurídico de la Ganadería aragonesa)"". Universidad. 1929. Retrieved 2019-02-18.
https://en.wikipedia.org/wiki/List_of_oldest_companies
https://en.wikipedia.org/wiki/Casa_de_Ganaderos"
