Country ,Business,Year Founded,Address,Category,Notes,Source(s)
Antigua and Barbuda,No Data,No Data,No Data,No Data,.,No Data
Bahamas,No Data,No Data,No Data,No Data,.,No Data
Barbados,Mount Gay Rum,1703,No Data,"Distillers, Vintners, & Breweries (Distillery)",.,"http://www.mountgayrum.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Barbados
https://en.wikipedia.org/wiki/Mount_Gay_Rum"
Belize,Belize Bank,1902,"60 Market Square, Belize City, Belize",Banking & Finance ,.,"http://www.belizebank.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Belize
https://en.wikipedia.org/wiki/Belize_Bank"
Canada,Hudson's Bay Company,1670,"8925 Torbram Rd, Brampton, Ontario, Canada",Retail,.,"http://www2.hbc.com/hbc/history/
https://en.wikipedia.org/wiki/List_of_companies_of_Canada
https://en.wikipedia.org/wiki/Hudson%27s_Bay_Company; "
Costa Rica,Florida Ice and Farm Company,1908,"Heredia, San Joaquín 2046-3000, Costa Rica","Distillers, Vintners, & Breweries (Brewery)",.,"https://www.linkedin.com/company/fifco
https://en.wikipedia.org/wiki/Florida_Ice_and_Farm_Company
https://en.wikipedia.org/wiki/List_of_companies_of_Costa_Rica"
Cuba,Cubana de Aviación,1929,"Calle 23 No. 64, La Rampa, Vedado, Ciudad de La Habana, Cuba, 10400",Aviation & Transport (Airline),.,"http://www.cubana.cu/
https://en.wikipedia.org/wiki/List_of_companies_of_Cuba
https://en.wikipedia.org/wiki/Cubana_de_Aviaci%C3%B3n
"
Dominica,The Chronicle (Dominica),1909,"Incorporated Wallhouse, Loubiere, P.O Box 1724, Roseau Commonwealth of Dominica.",Media (Newspaper),.,"https://thedominicachronicle.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Dominica
https://en.wikipedia.org/wiki/The_Chronicle_(Dominica)"
El Salvador,HSBC El Salvador,1891,No Data,Banking & Finance ,.,"https://www.davivienda.com.sv/
https://en.wikipedia.org/wiki/List_of_companies_of_El_Salvador
https://en.wikipedia.org/wiki/Banco_Davivienda_El_Salvador"
Grenada,No Data,No Data,No Data,No Data,.,No Data
Guatemala,Corporación Multi Inversiones,1920,"5 Av 15-45 Zona 10, Edificio Centro Empresarial, Guatemala.",Food & Beverages,.,"https://cmi.co/
https://en.wikipedia.org/wiki/List_of_companies_of_Guatemala
https://en.wikipedia.org/wiki/Corporaci%C3%B3n_Multi_Inversiones "
Haiti,Rhum Barbancourt,1862,"Rte Nationale #1, entrée de Damien. Port au prince, Haiti","Distillers, Vintners, & Breweries (Distillery)",.,"http://barbancourt.net/
https://en.wikipedia.org/wiki/List_of_companies_of_Haiti
https://en.wikipedia.org/wiki/Rhum_Barbancourt"
Honduras,National Railroad of Honduras,1870,No Data,Aviation & Transport ,.,https://es.wikipedia.org/wiki/Ferrocarril_Nacional_de_Honduras
Jamaica,Rose Hall,1770,"Rose Hall P.O. Box 1, St. James, Jamaica, W.I",Tourism & Hotels,.,"https://rosehall.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Jamaica
https://en.wikipedia.org/wiki/Rose_Hall,_Montego_Bay
"
Mexico,La Casa de Moneda de México,1534,"Paseo de la Reforma 295, 5th Floor, Cuauhtemoc City hall, Mexico City, CP 06500",Manufacturing & Production (Mint),.,"http://www.cmm.gob.mx/
https://en.wikipedia.org/wiki/List_of_oldest_companies
https://en.wikipedia.org/wiki/Mexican_Mint
"
Nicaragua,Flor de Caña,1890,"Flor de Caña, Managua, NI","Distillers, Vintners, & Breweries (Distillery)",.,"http://www.flordecana.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Nicaragua
https://en.wikipedia.org/wiki/Flor_de_Ca%C3%B1a
"
Panama,National Bank of Panama,1904,"Vía España, Calle 55, Panama",Banking & Finance ,.,"https://www.banconal.com.pa/
https://en.wikipedia.org/wiki/List_of_companies_of_Panama
https://en.wikipedia.org/wiki/National_Bank_of_Panama; "
Saint Kitts and Nevis,No Data,No Data,No Data,No Data,.,No Data
Saint Lucia,1st National Bank of St Lucia,1938,"P.O. Box 168, Castries",Banking & Finance ,.,"https://www.1stnationalbankonline.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Saint_Lucia
https://en.wikipedia.org/wiki/1st_National_Bank_of_St_Lucia
"
Saint Vincent and the Grenadines,No Data,No Data,No Data,No Data,.,No Data
Trinidad and Tobago,House of Angostura,1830,"Corner Eastern Main Road and Trinity Ave, Laventville, Trinidad & Tobago","Distillers, Vintners, & Breweries (Distillery)",.,"http://www.angostura.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Trinidad_and_Tobago
https://en.wikipedia.org/wiki/House_of_Angostura"
United States of America,Shirley Plantation,1638,"501 Shirley Plantation Rd, Charles City, VA 23030",Agriculture,"Avedis Zildjian Company was founded in Turkey and not brought to the US until 1929. Shirley Plantation was founded in 1613, but the family business did not start until 1638, but the Tuttle Farm was sold in 2013 and is no longer in business. Shirley Plantation is still in business. ","https://www.ranker.com/list/the-oldest-companies-in-the-united-states/sjones
http://www.shirleyplantation.com/history/
https://www.seacoastonline.com/article/20131105/NEWS/131109882
"
