Country ,Business,Year Founded,Address,Category,Notes,Source(s)
Australia,Australia Post,1809,"111 Bourke Street, Melbourne, Australia",Postal Service,.,"http://auspost.com.au/
https://en.wikipedia.org/wiki/List_of_companies_of_Australia
https://en.wikipedia.org/wiki/Australia_Post"
"Micronesia, Federated States of",No Data,No Data,No Data,No Data,.,.
Fiji,No Data,No Data,No Data,No Data,.,.
Kiribati,No Data,No Data,No Data,No Data,.,.
Marshall Islands,No Data,No Data,No Data,No Data,.,.
Nauru,No Data,No Data,No Data,No Data,.,.
New Zealand,Bank of New Zealand,1861,"Private Bag 39806, Wellington Mail centre, Lower Hutt 5045, New Zealand",Banking & Finance ,.,"http://www.bnz.co.nz/
https://en.wikipedia.org/wiki/List_of_companies_of_New_Zealand
https://en.wikipedia.org/wiki/Bank_of_New_Zealand"
Palau,No Data,No Data,No Data,No Data,.,.
Papua New Guinea,No Data,No Data,No Data,No Data,.,.
Samoa,No Data,No Data,No Data,No Data,.,.
Solomon Islands,No Data,No Data,No Data,No Data,.,.
Tonga,No Data,No Data,No Data,No Data,.,.
Tuvalu,No Data,No Data,No Data,No Data,.,.
Vanuatu,European Trust Company,1991,"First Floor, International building, Lini Highway, Port Vila Vanuatu",Banking & Finance ,.,https://beta.companieshouse.gov.uk/company
