Country ,Business,Year Founded,Address,Category,Notes,Source(s)
Argentina,"Bank of the Province of Buenos Aires
",1822,"San Martín 137, Ciudad Autónoma de Buenos Aires, Argentina",Banking & Finance ,.,"http://www.bancoprovincia.com.ar/
https://en.wikipedia.org/wiki/List_of_companies_of_Argentina
https://en.wikipedia.org/wiki/Bank_of_the_Province_of_Buenos_Aires"
Bolivia,Banco Nacional de Bolivia,1871,"Sucre, Bolivia",Banking & Finance ,"The national mint opened earlier, but it‘s now only open as a museum. ","https://en.wikipedia.org/wiki/Banco_Nacional_de_Bolivia
https://en.wikipedia.org/wiki/List_of_oldest_banks_in_continuous_operation"
Brazil,Casa da Moeda do Brasil,1694,"Esplanada dos Ministerios Bloco k, Andar 6, Sala 674 Brasilia, DF 70040-906 Brazil",Manufacturing & Production (Mint),.,http://santacasadesantos.org.br/historia
Chile,Famae,1811,"Avda. Ejército Libertador 353 Santiago, Chile",Defense,.,"http://www.famae.cl/
https://en.wikipedia.org/wiki/List_of_companies_of_Chilehttps://en.wikipedia.org/wiki/FAMAE"
Colombia,Casa de Moneda de Colombia,1621,"Cl. 11 #4-93, Bogotá, Cundinamarca, Colombia",Manufacturing & Production (Mint),.,"http://www.banrepcultural.org/museos-y-colecciones/casa-de-moneda
https://en.wikipedia.org/wiki/List_of_oldest_companies; https://en.wikipedia.org/wiki/Casa_de_Moneda_de_Colombia"
Ecuador,No Data,No Data,No Data,No Data,.,No Data
Guyana,Banks DIH,1840,"Mandela Ave, Georgetown, Guyana",Food & Beverages,.,"http://www.banksdih.com/
https://en.wikipedia.org/wiki/List_of_companies_of_Guyana
https://en.wikipedia.org/wiki/Banks_DIH"
Paraguay,No Data,No Data,No Data,No Data,.,No Data
Peru,Casa Nacional de Moneda,1565,"Ayacucho, Villa Imperial de Potosí, Bolivia",Banking & Finance ,.,"https://en.wikipedia.org/wiki/List_of_oldest_companies
https://www.bcrp.gob.pe/billetes-y-monedas/casa-nacional-de-moneda/historia.html"
Suriname,No Data,No Data,No Data,No Data,.,No Data
Uruguay,Cafe Brasilero,1877,"Ituzaingó 1447, 11000 Montevideo, Departamento de Montevideo, Uruguay",Service Industries ,,"https://es.wikipedia.org/wiki/Caf%C3%A9_Brasilero
https://www.atlasobscura.com/places/cafe-brasilero
https://www.afar.com/places/cafe-brasilero-montevideo"
Venezuela,Hacienda Chuao,1660,"Chuao, Venezuela",Food & Beverages,.,"https://whc.unesco.org/en/tentativelists/1635/
https://www.theguardian.com/world/2007/apr/07/venezuela.lifeandhealth
https://chocolateclass.wordpress.com/2016/02/20/11962/
https://en.wikipedia.org/wiki/Chuao"
